,id_c,education_background_c,professional_experience_c,skills_c,gender_c,agg_perceived_foreign_c
415,415,"[{'institution': 'Radboud University Nijmegen', 'start_date': 'September 2023', 'end_date': 'Currrent', 'degree': 'Msc Intelligent Technology'}, {'institution': 'Radboud University Nijmegen', 'start_date': 'October 2009', 'end_date': 'July 2012', 'degree': 'Bsc in Physics and Computer Science'}]","[{'institution': 'Transnatur Barcelona', 'start_date': 'December 2022', 'end_date': 'April 2024', 'role': 'Back Office', 'duration': '1 year, 4 months', 'duration_months': 16}]","['Python (Programming Language)', 'Github', 'English', 'Sql (Programming Language)']",Man,No
417,417,"[{'institution': 'Universit Degli Studi Di Milano', 'start_date': 'January 2012', 'end_date': 'December 2015', 'degree': 'Bachelor Of Science In Physics'}]","[{'institution': 'Phoenix Biomedical Protuds Sl', 'start_date': 'August 2023', 'end_date': 'Current', 'role': 'Production', 'duration': '1 year, 7 months', 'duration_months': 19}]","['Ubuntu (Operating System)', 'Digital Cameras', 'Image Quality', 'English', 'Linux', 'Medical Devices', 'Gnu Image Manipulation Program (Gimp)', 'Teaching', 'Photonics', 'Research', 'Physics']",Woman,Yes
418,418,"[{'institution': 'Pierre Et Marie Curie University Sorbonne University', 'start_date': 'December 2007', 'end_date': 'January 2012', 'degree': 'Bachelor Comoputer Science'}]","[{'institution': 'Asm Pacific Technology', 'start_date': 'February 2016', 'end_date': 'November 2016', 'role': 'Machine Learning Engineer', 'duration': '9 months', 'duration_months': 9}]","['Python (Programming Language)', 'Communications', 'Sql (Programming Language)', 'English', 'Planning', 'Agile Software Development', 'Machine Learning', 'French', 'Research', 'Management', 'Computer Science']",Man,No
419,419,"[{'institution': 'Humboldt University Of Berlin', 'start_date': 'October 2018', 'end_date': 'September 2021', 'degree': 'Master Of Science In Psychology'}, {'institution': 'Politecnico Di Torino', 'start_date': 'September 2014', 'end_date': 'October 2017', 'degree': 'Bs In Mathematical Engineering'}]","[{'institution': 'Wockhardt Research Center', 'start_date': 'October 2015', 'end_date': 'April 2016', 'role': 'Research Trainee', 'duration': '6 months', 'duration_months': 6}]","['Trajectory', 'Django (Web Framework)', 'English', 'Data Modeling', 'R (Programming Language)', 'Time Series', 'Optical Character Recognition (Ocr)', 'Management', 'Spanish', 'Deep Learning', 'Collaboration', 'Innovation', 'Transformers (Electrical)', 'Computer Vision', 'Anomaly Detection', 'Matlab', 'Forecasting', 'C (Programming Language)', 'Docker (Software)', 'Italian', '3D Rendering', 'Machine Learning', 'Rendering', 'Pytorch (Machine Learning Library)', 'Tensorflow', 'Python (Programming Language)', 'Natural Language Processing', 'Scikit-Learn (Machine Learning Library)', 'Prediction']",Woman,No
420,420,"[{'institution': 'Radboud University', 'start_date': 'September 2020', 'end_date': 'Current', 'degree': 'Master In Data Science'}, {'institution': 'Pierre Et Marie Curie University Sorbonne University', 'start_date': 'September 2016', 'end_date': 'June 2020', 'degree': 'Bachelor In Computer Engineering'}]","[{'institution': 'Combray', 'start_date': 'August 2015', 'end_date': 'September 2015', 'role': 'Commercial', 'duration': '1 months', 'duration_months': 1}]","['Communications', 'Python (Programming Language)', 'English', 'Agile Software Development', 'Java (Programming Language)', 'Machine Learning', 'Management']",Man,No
421,421,"[{'institution': 'Pierre Et Marie Curie University Sorbonne University', 'start_date': 'September 2016', 'end_date': 'June 2020', 'degree': 'Bachelor In Computer Engineering'}]","[{'institution': 'University Of Klagenfurt', 'start_date': 'September 2020', 'end_date': 'Current', 'role': 'Marie Curie Fellow', 'duration': '4 years, 6 months', 'duration_months': 54}]","['Jquery', 'Jira', 'Communications', 'Javascript (Programming Language)', 'Stock Management', 'English', 'Formula', 'Infrastructure', 'Agile Software Development', 'Recommender Systems', 'Java (Programming Language)', 'Operations', 'Fourgen Computer-Aided Software Engineering (Case) Tools', 'Storage Area Network (San)', 'Backbone.Js', 'Management']",Man,Yes
422,422,"[{'institution': 'Radboud University Nijmegen', 'start_date': 'September 2023', 'end_date': 'Currrent', 'degree': 'Msc Intelligent Technology'}, {'institution': 'Alexandru Ioan Cuza University', 'start_date': 'September 2019', 'end_date': 'July 2023', 'degree': 'Bsc Artificial Intelligence'}]","[{'institution': 'Capgemini Engineering', 'start_date': 'March 2022', 'end_date': 'August 2023', 'role': 'Life Science Consultant', 'duration': '1 year, 5 months', 'duration_months': 17}]","['Biomedical Engineering', 'Microsoft Word', 'English', 'Sql (Programming Language)', 'Data Science', 'Problem Solving', 'Dutch', 'Java (Programming Language)', 'Swedish', 'Critical Thinking', 'Orthopedics', 'Microsoft Excel', 'Triage', 'Machine Learning', 'French', 'Python (Programming Language)', 'German', 'Artificial Intelligence', 'Registration', 'Technical Acumen', 'Microsoft Powerpoint']",Man,No
426,426,"[{'institution': 'Stanford University', 'start_date': 'January 2016', 'end_date': 'December 2016', 'degree': 'Master Of Arts Ma Education'}, {'institution': 'University Of Ljubljana', 'start_date': 'July 2008', 'end_date': 'February 2011', 'degree': 'Master Of Science Msc Computer Science'}, {'institution': 'Politecnic University of Valencia', 'start_date': 'January 2003', 'end_date': 'December 2003', 'degree': 'Engineering In Industrial Organization'}]","[{'institution': 'Retronator', 'start_date': 'December 2009', 'end_date': 'Current', 'role': 'Founder Product Designer Software Engineer', 'duration': '15 years, 3 months', 'duration_months': 183}]","['Javascript (Programming Language)', 'English', 'Sql (Programming Language)', 'Agile Software Development', 'Objective-C (Programming Language)', 'Mongodb', 'Machine Learning', 'Teaching', 'Amazon Web Services', 'Web Applications', 'Research', 'Customer Service', 'Management', 'App Store (Ios)']",Man,No
431,431,"[{'institution': 'Radboud University Nijmegen', 'start_date': 'October 2009', 'end_date': 'July 2012', 'degree': 'Bsc in Physics and Computer Science'}]","[{'institution': 'Atruvia Ag', 'start_date': 'October 2018', 'end_date': 'January 2020', 'role': 'Software Developer', 'duration': '1 year, 3 months', 'duration_months': 15}]","['Procurement', 'Seaborn', 'Time Management', 'Biostatistics', 'English', 'Sql (Programming Language)', 'Romanian', 'Sqlite', 'Imaging', 'Scipy', 'Time Series', 'Data Analysis', 'Management', 'Attenuation', 'Customer Retention', 'Research', 'Pyqt5', 'Matlab', 'Planning', 'C (Programming Language)', 'Pandas (Python Package)', 'Firebase', 'Danish', 'Data Processing', 'Opencv', 'Extract Transform Load (Etl)', 'Github', 'Sustainable Procurement', 'Python (Programming Language)', 'German', 'Retention Rate', 'Matplotlib', 'Latex', 'Public Transport', 'Nosql']",Man,No
436,436,"[{'institution': 'Radboud University Nijmegen', 'start_date': 'September 2023', 'end_date': 'Currrent', 'degree': 'Msc Intelligent Technology'}, {'institution': 'Politecnico Di Torino', 'start_date': 'September 2014', 'end_date': 'October 2017', 'degree': 'Bs In Mathematical Engineering'}, {'institution': 'Radboud University', 'start_date': 'January 2017', 'end_date': 'June 2017', 'degree': 'Erasmus Semester'}]","[{'institution': 'Ce It Cb', 'start_date': 'March 2020', 'end_date': 'November 2020', 'role': 'Microcomputer Support Technician', 'duration': '8 months', 'duration_months': 8}]","['Python (Programming Language)', 'Communications', 'Django (Web Framework)', 'English', 'Matlab', 'Forecasting', 'C (Programming Language)', 'Docker (Software)', 'Data Modeling', 'Collaboration', 'Italian', 'Machine Learning', 'Rendering', 'Optical Character Recognition (Ocr)', 'Management']",Man,No
437,437,"[{'institution': 'Elbs', 'start_date': 'October 2020', 'end_date': 'November 2020', 'degree': 'Expert Master in Chromotography'}, {'institution': 'Radboud University Nijmegen', 'start_date': 'October 2009', 'end_date': 'July 2012', 'degree': 'Bsc in Physics and Computer Science'}]","[{'institution': 'Phoenix Biomedical Protuds Sl', 'start_date': 'August 2023', 'end_date': 'Current', 'role': 'Production', 'duration': '1 year, 7 months', 'duration_months': 19}]","['Microsoft Excel', 'Microsoft Office', 'English', 'Quality Control', 'Microsoft Powerpoint', 'Commissioning', 'Romanian', 'Microsoft Outlook', 'Quality Management', 'Scipy', 'Time Series', 'Catalan', 'Nosql', 'Management']",Woman,No
438,438,"[{'institution': 'Universiteit Van Amsterdam', 'start_date': 'September 2020', 'end_date': 'June 2022', 'degree': 'Master Social Sciences Research'}, {'institution': 'Commercial College Of The West', 'start_date': 'January 2012', 'end_date': 'December 2015', 'degree': 'Bachelor Of Science In Physics'}]","[{'institution': 'Norwegian Digitalisation Agency', 'start_date': 'June 2020', 'end_date': 'August 2020', 'role': 'Summer Internship', 'duration': '2 months', 'duration_months': 2}]","['Curiosity', 'Mysql', 'Research', 'English', 'Matlab', 'Ubuntu (Operating System)', 'Image Quality', 'Labview', 'Linux', 'Source (Game Engine)', 'Medical Devices', 'Astronomy', 'French', 'Data Analysis', 'Physics']",Man,No
440,440,"[{'institution': 'Western Norway University Of Applied Sciences', 'start_date': 'October 2013', 'end_date': 'September 2016', 'degree': 'Bsc In Applied Computer Science'}]","[{'institution': 'Bonarea', 'start_date': 'December 2021', 'end_date': 'March 2022', 'role': 'Food Production', 'duration': '3 months', 'duration_months': 3}]","['Management', 'Computer Science']",Man,No
442,442,"[{'institution': 'Pierre Et Marie Curie University Sorbonne University', 'start_date': 'January 2012', 'end_date': 'December 2015', 'degree': 'Bachelor Of Science In Physics'}]","[{'institution': 'University Of Klagenfurt', 'start_date': 'September 2020', 'end_date': 'Current', 'role': 'Marie Curie Fellow', 'duration': '4 years, 6 months', 'duration_months': 54}]","['Cooperation', 'Opera (Web Browser)', 'English', 'Ubuntu (Operating System)', 'Photonics', 'Political Economy', 'Data Analysis', 'Physics', 'Statistics', 'Economy', 'Mysql', 'Gender Studies', 'Social Sciences', 'Linux', 'Gnu Image Manipulation Program (Gimp)', 'Swedish', 'Research', 'Curiosity', 'Digital Cameras', 'Matlab', 'Image Quality', 'Julia (Programming Language)', 'Medical Devices', 'Planning', 'Astronomy', 'French', 'Python (Programming Language)', 'Labview', 'Source (Game Engine)', 'Artificial Intelligence', 'Development Studies', 'Teaching', 'Economics']",Woman,No
443,443,"[{'institution': 'Radboud University', 'start_date': 'September 2020', 'end_date': 'Current', 'degree': 'Master In Data Science'}, {'institution': 'Pierre Et Marie Curie University Sorbonne University', 'start_date': 'September 2016', 'end_date': 'June 2020', 'degree': 'Bachelor In Computer Engineering'}]","[{'institution': 'Bonarea', 'start_date': 'December 2021', 'end_date': 'March 2022', 'role': 'Food Production', 'duration': '3 months', 'duration_months': 3}]","['Django (Web Framework)', 'Microsoft Word', 'English', 'Sql (Programming Language)', 'Romanian', 'Blogs', 'Management', 'Communications', 'Javascript (Programming Language)', 'Infrastructure', 'Named Entity Recognition', 'Android (Operating System)', 'Recommender Systems', 'Java (Programming Language)', 'Research', 'C (Programming Language)', 'Object Detection', 'Chatbot', 'Technical Support', 'Machine Learning', 'Troubleshooting (Problem Solving)', 'Pytorch (Machine Learning Library)', 'Python (Programming Language)', 'German', 'Agile Software Development', 'Leadership', 'Text Processing']",Man,No
446,446,"[{'institution': 'Polytechnic University Of Valencia', 'start_date': 'January 2023', 'end_date': 'Current', 'degree': 'Master Data Science'}, {'institution': 'Universit Degli Studi Di Milano', 'start_date': 'December 2007', 'end_date': 'January 2012', 'degree': 'Bachelor Comoputer Science'}]","[{'institution': 'Paul Scherrer Institute', 'start_date': 'August 2020', 'end_date': 'October 2020', 'role': 'Postdoc', 'duration': '2 months', 'duration_months': 2}]","['Python (Programming Language)', 'Communications', 'German', 'Sql (Programming Language)', 'English', 'Planning', 'Machine Learning', 'Java (Programming Language)', 'Data Science', 'Research']",Man,No
452,452,"[{'institution': 'Universit Degli Studi Di Milano', 'start_date': 'December 2007', 'end_date': 'January 2012', 'degree': 'Bachelor Comoputer Science'}]","[{'institution': 'Vartion', 'start_date': 'February 2020', 'end_date': 'April 2020', 'role': 'Careeroriented Internship', 'duration': '2 months', 'duration_months': 2}]","['Python (Programming Language)', 'Sql (Programming Language)', 'English', 'Planning', 'Agile Software Development', 'Machine Learning', 'Research', 'Computer Science']",Woman,No
455,455,"[{'institution': 'Radboud University Nijmegen', 'start_date': 'September 2023', 'end_date': 'Currrent', 'degree': 'Msc Intelligent Technology'}, {'institution': 'Radboud University Nijmegen', 'start_date': 'October 2009', 'end_date': 'July 2012', 'degree': 'Bsc in Physics and Computer Science'}]","[{'institution': 'Serviciosintegrales Sanblas Sl', 'start_date': 'January 2023', 'end_date': 'May 2023', 'role': 'Assistant', 'duration': '4 months', 'duration_months': 4}]","['Python (Programming Language)', 'Sql (Programming Language)']",Man,Yes
457,457,"[{'institution': 'Alexandru Ioan Cuza University', 'start_date': 'September 2019', 'end_date': 'July 2023', 'degree': 'Bsc Artificial Intelligence'}]","[{'institution': 'Private Hospital', 'start_date': 'February 2020', 'end_date': 'July 2020', 'role': 'Intern Engineer', 'duration': '5 months', 'duration_months': 5}]","['Dutch', 'English', 'Machine Learning', 'Swedish', 'Critical Thinking']",Woman,No
460,460,"[{'institution': 'Radboud University', 'start_date': 'September 2020', 'end_date': 'Current', 'degree': 'Master In Data Science'}, {'institution': 'Pierre Et Marie Curie University Sorbonne University', 'start_date': 'January 2012', 'end_date': 'December 2015', 'degree': 'Bachelor Of Science In Physics'}]","[{'institution': 'Kuiper Inversis Bank', 'start_date': 'March 2020', 'end_date': 'November 2020', 'role': 'Microcomputer Support Technician', 'duration': '8 months', 'duration_months': 8}]","['Python (Programming Language)', 'Curiosity', 'English', 'Image Quality', 'French', 'Swedish', 'Research']",Woman,No
464,464,"[{'institution': 'University Of Alicante', 'start_date': 'January 2019', 'end_date': 'December 2020', 'degree': 'Master In Natural Risk Planning And Management'}, {'institution': 'Alexandru Ioan Cuza University', 'start_date': 'October 2009', 'end_date': 'July 2012', 'degree': 'Bsc in Physics and Computer Science'}]","[{'institution': 'Comercial Nutresa S A', 'start_date': 'February 2017', 'end_date': 'July 2017', 'role': 'Workplace Health And Safety Practitioner', 'duration': '5 months', 'duration_months': 5}]","['Business Intelligence', 'Cadastre', 'Sql (Programming Language)', 'English', 'Milestones (Project Management)', 'Empathy', 'Risk Management', 'Geodesy', 'Data Science', 'Mapping', 'Management', 'Relational Databases', 'Catalan', 'Research', 'Algorithms', 'Digitization', 'Planning', 'Asana', 'Nautical Charts', 'Machine Learning', 'Lamp (Software Bundle)', 'Geospatial Data Abstraction Library (Gdal)', 'Geographic Information Systems', 'Python (Programming Language)', 'Geography']",Woman,Yes
465,465,"[{'institution': 'Pierre Et Marie Curie University Sorbonne University', 'start_date': 'September 2016', 'end_date': 'June 2020', 'degree': 'Bachelor In Computer Engineering'}]","[{'institution': 'Geomatics Laboratory  Espe', 'start_date': 'March 2016', 'end_date': 'July 2017', 'role': 'Research Thesis', 'duration': '1 year, 4 months', 'duration_months': 16}]","['Communications', 'English']",Man,No
466,466,"[{'institution': 'Commercial College Of The West', 'start_date': 'January 2012', 'end_date': 'December 2015', 'degree': 'Bachelor Of Science In Physics'}]","[{'institution': 'Productos Aditvos Sa', 'start_date': 'October 2021', 'end_date': 'January 2022', 'role': 'Laboratory Analyst', 'duration': '3 months', 'duration_months': 3}]","['Opera (Web Browser)', 'English', 'Ubuntu (Operating System)', 'Photonics', 'Data Analysis', 'Mysql', 'Linux', 'Gnu Image Manipulation Program (Gimp)', 'Swedish', 'Research', 'Digital Cameras', 'Julia (Programming Language)', 'Image Quality', 'Medical Devices', 'Astronomy', 'French', 'Labview', 'Source (Game Engine)', 'Teaching']",Man,No
468,468,"[{'institution': 'Radboud University Nijmegen', 'start_date': 'September 2019', 'end_date': 'July 2023', 'degree': 'Bsc Artificial Intelligence'}]","[{'institution': 'Madrid Institute Of Rural Research And Development Imidra', 'start_date': 'October 2018', 'end_date': 'January 2019', 'role': 'Laboratory Technician Internship', 'duration': '3 months', 'duration_months': 3}]","['Dutch', 'Microsoft Excel', 'Microsoft Word', 'English', 'Data Science', 'Registration', 'Microsoft Powerpoint']",Man,No
471,471,"[{'institution': 'Universit Degli Studi Di Milano', 'start_date': 'September 2016', 'end_date': 'June 2020', 'degree': 'Bachelor In Computer Engineering'}]","[{'institution': 'Praxedis De', 'start_date': 'January 2023', 'end_date': 'November 2023', 'role': 'Junior Devops', 'duration': '10 months', 'duration_months': 10}]","['Communications', 'Outsourcing', 'Digital Security', 'Javascript (Programming Language)', 'Biotechnology', 'English', 'Formula', 'Network Administration', 'Infrastructure', 'Agile Software Development', 'Questionnaire Design', 'Italian', 'Java (Programming Language)', 'Fourgen Computer-Aided Software Engineering (Case) Tools', 'Amazon Web Services', 'Digital Literacy', 'Blogs', 'Management']",Man,No
472,472,"[{'institution': 'Politecnico Di Torino', 'start_date': 'September 2014', 'end_date': 'October 2017', 'degree': 'Bs In Mathematical Engineering'}]","[{'institution': 'Industrial Higher Technical Institute', 'start_date': 'October 2014', 'end_date': 'July 2015', 'role': 'Research Assistant', 'duration': '9 months', 'duration_months': 9}]","['Trajectory', 'Django (Web Framework)', 'Data Modeling', 'R (Programming Language)', 'Optical Character Recognition (Ocr)', 'Management', 'Collaboration', 'Deep Learning', 'Transformers (Electrical)', 'Innovation', 'Computer Vision', 'Matlab', 'C (Programming Language)', 'Forecasting', '3D Rendering', 'Rendering', 'Pytorch (Machine Learning Library)', 'Python (Programming Language)', 'Scikit-Learn (Machine Learning Library)', 'Prediction']",Woman,Yes
478,478,"[{'institution': 'University Of Ljubljana', 'start_date': 'July 2008', 'end_date': 'February 2011', 'degree': 'Master Of Science Msc Computer Science'}, {'institution': 'University Of Ljubljana', 'start_date': 'September 2005', 'end_date': 'June 2008', 'degree': 'Bachelor Of Science Bsc Computer Science'}]","[{'institution': 'Integral Motorbike', 'start_date': 'August 2008', 'end_date': 'September 2023', 'role': 'Motorcycle Technician', 'duration': '15 years, 1 months', 'duration_months': 181}]","['Web Development', 'English', 'Sql (Programming Language)', 'Writing', 'Php (Scripting Language)', 'Mapping', 'Amazon Web Services', 'Web Applications', 'Management', 'Jquery', 'Javascript (Programming Language)', 'Communications', 'Mysql', 'Presentations', 'Collaboration', 'Json', 'Research', 'Algorithms', 'C (Programming Language)', 'Postgresql', 'Docker (Software)', 'Application Programming Interface (Api)', 'Mongodb', 'Machine Learning', 'Visualization', 'App Store (Ios)', 'Computer Science', 'Python (Programming Language)', 'Apache Spark', 'Apache Kafka', 'Agile Software Development', 'Objective-C (Programming Language)', 'Teaching', 'Onboarding']",Woman,No
479,479,"[{'institution': 'Politecnico Di Torino', 'start_date': 'September 2014', 'end_date': 'October 2017', 'degree': 'Bs In Mathematical Engineering'}]","[{'institution': 'Productos Aditvos Sa', 'start_date': 'December 2022', 'end_date': 'February 2023', 'role': 'Validation Analyst And Laboratory Analyst', 'duration': '2 months', 'duration_months': 2}]","['Tensorflow', 'Data Modeling', 'C (Programming Language)', 'Deep Learning', '3D Rendering', 'Collaboration', 'Machine Learning', 'Scikit-Learn (Machine Learning Library)', 'Prediction', 'Management']",Woman,No
481,481,"[{'institution': 'Politecnico Di Torino', 'start_date': 'September 2017', 'end_date': 'December 2019', 'degree': 'Master In Mathematical Engineering'}, {'institution': 'Pierre Et Marie Curie University Sorbonne University', 'start_date': 'January 2012', 'end_date': 'December 2015', 'degree': 'Bachelor Of Science In Physics'}]","[{'institution': 'University Of Klagenfurt', 'start_date': 'September 2020', 'end_date': 'Current', 'role': 'Marie Curie Fellow', 'duration': '4 years, 6 months', 'duration_months': 54}]","['Trajectory', 'Cooperation', 'Django (Web Framework)', 'Opera (Web Browser)', 'English', 'Ubuntu (Operating System)', 'Data Modeling', 'R (Programming Language)', 'Time Series', 'Photonics', 'Political Economy', 'Data Analysis', 'Physics', 'Management', 'Optical Character Recognition (Ocr)', 'Mysql', 'Gender Studies', 'Social Sciences', 'Linux', 'Collaboration', 'Deep Learning', 'Gnu Image Manipulation Program (Gimp)', 'Transformers (Electrical)', 'Innovation', 'Swedish', 'Research', 'Computer Vision', 'Curiosity', 'Anomaly Detection', 'Matlab', 'Image Quality', 'Digital Cameras', 'Julia (Programming Language)', 'Medical Devices', 'Planning', 'C (Programming Language)', 'Forecasting', 'Docker (Software)', 'Italian', 'Machine Learning', 'Rendering', '3D Rendering', 'Astronomy', 'French', 'Pytorch (Machine Learning Library)', 'Tensorflow', 'Python (Programming Language)', 'Labview', 'Source (Game Engine)', 'Development Studies', 'Natural Language Processing', 'Teaching', 'Scikit-Learn (Machine Learning Library)', 'Prediction']",Woman,No
483,483,"[{'institution': 'Western Norway University Of Applied Sciences', 'start_date': 'October 2013', 'end_date': 'September 2016', 'degree': 'Bsc In Applied Computer Science'}]","[{'institution': 'Drban Raduloan Bia', 'start_date': 'January 2023', 'end_date': 'February 2023', 'role': 'Surveying Assistant', 'duration': '1 months', 'duration_months': 1}]","['English', 'Justice', 'Openstreetmap', 'Java (Programming Language)', 'Machine Learning', 'Management']",Man,No
486,486,"[{'institution': 'Radboud University Nijmegen', 'start_date': 'September 2023', 'end_date': 'Currrent', 'degree': 'Msc Intelligent Technology'}, {'institution': 'University Of Zurich', 'start_date': 'October 2013', 'end_date': 'September 2016', 'degree': 'Bsc In Applied Computer Science'}]","[{'institution': 'Combray', 'start_date': 'August 2015', 'end_date': 'September 2015', 'role': 'Commercial', 'duration': '1 months', 'duration_months': 1}]","['Algorithms', 'Web Development', 'English', 'Justice', 'Openstreetmap', 'Data Science', 'Java (Programming Language)', 'Machine Learning', 'Codebase', 'Research', 'Visualization', 'Decision Making', 'Computer Science']",Woman,No
487,487,"[{'institution': 'Uppsala University', 'start_date': 'January 2023', 'end_date': 'Current', 'degree': 'Phd In Computer Science Ongoing'}, {'institution': 'Humboldt University Of Berlin', 'start_date': 'October 2018', 'end_date': 'September 2021', 'degree': 'Master Of Science In Psychology'}, {'institution': 'Radboud University Nijmegen', 'start_date': 'October 2009', 'end_date': 'July 2012', 'degree': 'Bsc in Physics and Computer Science'}]","[{'institution': 'Altipla Geomatics And Topography Slp', 'start_date': 'January 2023', 'end_date': 'February 2023', 'role': 'Surveying Assistant', 'duration': '1 months', 'duration_months': 1}]","['Python (Programming Language)', 'German', 'English', 'Reduction (Complexity)', 'Research']",Man,No
491,491,"[{'institution': 'University Of Ljubljana', 'start_date': 'July 2008', 'end_date': 'February 2011', 'degree': 'Master Of Science Msc Computer Science'}, {'institution': 'University Of Ljubljana', 'start_date': 'September 2005', 'end_date': 'June 2008', 'degree': 'Bachelor Of Science Bsc Computer Science'}]","[{'institution': 'Accounting', 'start_date': 'July 2023', 'end_date': 'August 2023', 'role': 'Administrative', 'duration': '1 months', 'duration_months': 1}, {'institution': 'Self employed consultant', 'start_date': 'November 1990', 'end_date': 'June 2006', 'role': 'Full Stack Developer', 'duration': '15 years, 7 months', 'duration_months': 187}]","['Javascript (Programming Language)', 'English', 'Sql (Programming Language)', 'Planning', 'C (Programming Language)', 'Mongodb', 'Machine Learning', 'Teaching', 'Data Analysis', 'Amazon Web Services', 'Research', 'Visualization', 'Management']",Man,No
492,492,"[{'institution': 'Stanford University', 'start_date': 'January 2016', 'end_date': 'December 2016', 'degree': 'Master Of Arts Ma Education'}, {'institution': 'University Of Ljubljana', 'start_date': 'July 2008', 'end_date': 'February 2011', 'degree': 'Master Of Science Msc Computer Science'}, {'institution': 'Politecnic University of Valencia', 'start_date': 'January 2003', 'end_date': 'December 2003', 'degree': 'Engineering In Industrial Organization'}]","[{'institution': 'Cvb Webmaster', 'start_date': 'September 2009', 'end_date': 'Current', 'role': 'Project Designer', 'duration': '15 years, 6 months', 'duration_months': 186}]","['Javascript (Programming Language)', 'English', 'Sql (Programming Language)', 'Agile Software Development', 'Mongodb', 'Machine Learning', 'Teaching', 'Onboarding', 'Amazon Web Services', 'Json', 'Web Applications', 'Research', 'Customer Service', 'Management']",Woman,No
494,494,"[{'institution': 'Pierre Et Marie Curie University Sorbonne University', 'start_date': 'September 2016', 'end_date': 'June 2020', 'degree': 'Bachelor In Computer Engineering'}]","[{'institution': 'Provincial Hospital', 'start_date': 'February 2022', 'end_date': 'June 2022', 'role': 'Internship', 'duration': '4 months', 'duration_months': 4}]","['Communications', 'English', 'Infrastructure', 'Agile Software Development', 'Version Control', 'Leadership', 'Reduction (Complexity)', 'Management']",Woman,No
495,495,"[{'institution': 'Radboud University', 'start_date': 'January 2023', 'end_date': 'Current', 'degree': 'Master Data Science'}, {'institution': 'University Of Helsinki', 'start_date': 'October 2013', 'end_date': 'September 2016', 'degree': 'Bsc In Applied Computer Science'}]","[{'institution': 'Geomatics Laboratory  Espe', 'start_date': 'March 2016', 'end_date': 'July 2017', 'role': 'Research Thesis', 'duration': '1 year, 4 months', 'duration_months': 16}]","['Java (Programming Language)', 'Machine Learning', 'English']",Woman,No
496,496,"[{'institution': 'Radboud University', 'start_date': 'September 2020', 'end_date': 'Current', 'degree': 'Master In Data Science'}, {'institution': 'Commercial College Of The West', 'start_date': 'September 2016', 'end_date': 'June 2020', 'degree': 'Bachelor In Computer Engineering'}]","[{'institution': 'Medical Expert', 'start_date': 'April 2015', 'end_date': 'June 2015', 'role': 'Laboratory Analyst Internship', 'duration': '2 months', 'duration_months': 2}]","['Django (Web Framework)', 'Microsoft Word', 'English', 'Sql (Programming Language)', 'Romanian', 'Amazon Web Services', 'Blogs', 'Management', 'Communications', 'Javascript (Programming Language)', 'Collaborative Research', 'Formula', 'Infrastructure', 'Named Entity Recognition', 'Android (Operating System)', 'Recommender Systems', 'Java (Programming Language)', 'Xamarin', 'Digital Literacy', 'Research', 'Computer Vision', 'Analytics', 'C (Programming Language)', 'Object Detection', 'Chatbot', 'Technical Support', 'Machine Learning', 'Troubleshooting (Problem Solving)', 'Pytorch (Machine Learning Library)', 'Real Estate', 'Python (Programming Language)', 'German', 'Agile Software Development', 'Leadership', 'Text Processing']",Woman,No
502,502,"[{'institution': 'University Of Helsinki', 'start_date': 'August 2020', 'end_date': 'June 2022', 'degree': 'Msc In Computer Science  Data Science'}, {'institution': 'Politecnico Di Torino', 'start_date': 'September 2014', 'end_date': 'October 2017', 'degree': 'Bs In Mathematical Engineering'}, {'institution': 'Radboud University', 'start_date': 'January 2017', 'end_date': 'June 2017', 'degree': 'Erasmus Semester'}]","[{'institution': 'Star Diner', 'start_date': 'June 2017', 'end_date': 'January 2018', 'role': 'Service Employee Parttime', 'duration': '7 months', 'duration_months': 7}]","['Python (Programming Language)', 'German', 'English', 'C (Programming Language)', 'Planning', 'R (Programming Language)', 'Social Media', 'Php (Scripting Language)', 'Drupal', 'Machine Learning', 'Teaching', 'Research']",Woman,No
503,503,"[{'institution': 'University Of Stavanger', 'start_date': 'August 2018', 'end_date': 'May 2020', 'degree': 'Msc In Computer Science'}, {'institution': 'University Of Zurich', 'start_date': 'October 2013', 'end_date': 'September 2016', 'degree': 'Bsc In Applied Computer Science'}]","[{'institution': 'Dpg Media Netherlands', 'start_date': 'April 2021', 'end_date': 'May 2021', 'role': 'Data Scientist', 'duration': '1 months', 'duration_months': 1}]","['Web Development', 'English', 'Sql (Programming Language)', 'Justice', 'Openstreetmap', 'Data Science', 'Amazon Web Services', 'Management', 'Javascript (Programming Language)', 'Communications', 'Presentations', 'Java (Programming Language)', 'Research', 'Algorithms', 'Social Justice', 'Application Programming Interface (Api)', 'Docker (Software)', 'Mongodb', 'Machine Learning', 'Codebase', 'Visualization', 'Computer Science', 'App Store (Ios)', 'Teaching', 'Decision Making']",Man,No
504,504,"[{'institution': 'Pierre Et Marie Curie University Sorbonne University', 'start_date': 'September 2016', 'end_date': 'June 2020', 'degree': 'Bachelor In Computer Engineering'}]","[{'institution': 'Collin Mdical', 'start_date': 'April 2023', 'end_date': 'August 2023', 'role': 'Rd Engineer Intern', 'duration': '4 months', 'duration_months': 4}]","['Communications', 'Change Management', 'English', 'Infrastructure Management', 'Infrastructure', 'Agile Software Development', 'Cascading Style Sheets (Css)', 'Information Systems', 'Version Control', 'Chatbot', 'Integration', 'Warehousing', 'Management']",Woman,Yes
